Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
184668ad-08d8-2c05-cb16-c7040f00b848,2017-10-10,,999-35-8205,,,,Belinda283,Jesusita936,Harber290,,,,white,nonhispanic,F,Westford  Massachusetts  US,586 Torphy Avenue,Topsfield,Massachusetts,Essex County,25009,01983,42.6633193565592,-70.95309044380792,1306.92,17048.56,22868
2f20854f-e037-87c8-aabf-10ef6d3b58fe,2020-09-19,,999-51-5389,,,,Calista635,Kellye282,Casper496,,,,white,nonhispanic,F,Amherst  Massachusetts  US,176 Olson Bay Unit 98,Billerica,Massachusetts,Middlesex County,,00000,42.56156972135325,-71.26124447056716,11273.87,4201.37,61330
4de0cfdb-e8da-698b-0b53-882911ca2691,2008-04-14,,999-11-7051,S99979615,,,Emmie273,,Dibbert990,,,,white,nonhispanic,F,Somerset  Massachusetts  US,676 Schumm Divide,Taunton,Massachusetts,Bristol County,25005,02780,41.940111098463746,-71.16271824941172,36035.73,79389.64,32952
7ad33258-5ada-4025-170f-6127ca6400f5,1922-11-07,2005-10-31,999-82-4580,S99981251,X15367176X,Mrs.,Angelica442,Anitra287,Kiehn525,,Hirthe744,M,white,nonhispanic,F,Newburyport  Massachusetts  US,1078 Ernser Station Unit 58,Woburn,Massachusetts,Middlesex County,25017,01801,42.48749911026282,-71.12730947702875,1061662.50,1002992.22,47372
34f6aed9-bda0-2800-ee49-5946d1e6dda1,2014-11-06,,999-74-4866,,,,Lorelei90,Mark765,Lindgren255,,,,white,nonhispanic,F,Carver  Massachusetts  US,282 McGlynn Landing Suite 67,Fall River,Massachusetts,Bristol County,25005,02790,41.64360400940677,-71.0831858421684,63241.68,19712.58,97320
2d1fb98d-b9c6-ff4b-77db-542d38ebab46,1994-10-02,,999-78-2090,S99931463,X81843823X,Mrs.,Mirna233,Irene779,Crooks415,,Ziemann98,M,white,nonhispanic,F,Chelsea  Massachusetts  US,238 Macejkovic Course Unit 34,Boston,Massachusetts,Suffolk County,25025,02108,42.35881574874598,-71.09296814136633,308354.30,627147.10,117912
74c5aa16-9cde-3793-a778-33d8a8cbce4a,1924-04-10,,999-97-3712,S99921298,X32512939X,Mrs.,Sonia106,Marta91,Sánchez310,,Páez758,M,white,hispanic,F,Mexico City  Mexico City  MX,271 Reynolds Bypass Suite 35,Westborough,Massachusetts,Worcester County,25027,01581,42.317953160114975,-71.61020080526806,256154.18,835293.30,946067
49b12db1-88a8-cc6e-4f9d-7be4cdd678d1,1962-03-17,,999-16-3191,S99991330,X5027761X,Ms.,Hildegard72,Ariane992,Gerlach374,,,S,white,nonhispanic,F,Holland  Massachusetts  US,500 Parisian Ferry,Bedford,Massachusetts,Middlesex County,25017,01730,42.50785382344376,-71.27358174815484,229523.22,1281464.24,937379
2ccc1cf9-80a3-d3fc-1b52-7fab232f14c6,1961-09-09,,999-58-6994,S99949397,X496416X,Mr.,Reyes140,Marquis364,Nienow652,,,D,white,nonhispanic,M,Boston  Massachusetts  US,779 Cassin Mall,Lunenburg,Massachusetts,Worcester County,25027,01462,42.61225326177957,-71.74484439357163,45002.65,151990.55,59453
428dec35-a94c-7078-c8e1-415ba1854576,2015-11-28,,999-23-8881,,,,Mason910,Tracy345,Sanford861,,,,white,nonhispanic,M,Haverhill  Massachusetts  US,385 Hackett Grove Suite 48,Braintree,Massachusetts,Norfolk County,25021,02184,42.25435796195253,-70.99791266931426,23469.19,0.00,81041
0ad889d7-65d0-b0db-5721-2219e9acb948,1922-11-07,,999-82-8557,S99922730,X80245679X,Mrs.,Leonida214,Bulah832,Mohr916,,Vandervort697,M,white,nonhispanic,F,Reading  Massachusetts  US,875 Frami Stravenue,Woburn,Massachusetts,Middlesex County,25017,01801,42.512174421550796,-71.18390537835286,580875.93,471059.45,47372
86ab8ac0-a374-6c95-39d6-c713b46b2ae3,1967-09-05,,999-55-9913,S99953083,X85332283X,Mrs.,Emilia403,Blanca837,Ochoa950,,Cortés936,M,white,hispanic,F,San Jose  San Jose  CR,958 Pouros Club Unit 20,Amherst,Massachusetts,Hampshire County,,00000,42.401191082749335,-72.52349993246348,377004.94,43104.47,114594
753358fd-e0a3-8545-0aef-a870719d9b66,1965-04-30,,999-83-9085,S99937767,X37862284X,Mrs.,Delmy607,Janella261,Langworth352,,Bechtelar572,M,white,nonhispanic,F,Milton  Massachusetts  US,536 Wiegand Tunnel,Harwich,Massachusetts,Barnstable County,,00000,41.73418153388677,-70.04053743260368,785110.66,64783.30,90502
82cfe2fa-6a1d-7260-153b-76f728af7db6,1970-03-27,,999-83-1979,S99924966,X7884654X,Mr.,Vicente970,Jerónimo599,Mateo562,,,D,white,hispanic,M,Mexico City  Mexico City  MX,148 Herzog Heights Unit 89,Worcester,Massachusetts,Worcester County,25027,01583,42.269061716097035,-71.74416972329234,7998.69,128234.90,8343
a4e32c9d-5077-4221-1fa7-2830606df2da,2002-06-27,,999-21-4333,S99911668,X67311048X,Ms.,Tanna708,Karlyn611,Kassulke119,,,,white,nonhispanic,F,Weymouth  Massachusetts  US,210 Goldner Gateway,Fall River,Massachusetts,Bristol County,25005,02720,41.74857305663474,-71.16440753988851,51808.90,181534.70,29172
6df421f7-cad2-9be6-3ec4-964ddedce6bc,1977-01-13,,999-99-1265,S99971029,X18357152X,Mr.,Rickey821,Ezra452,Considine820,,,M,white,nonhispanic,M,Holbrook  Massachusetts  US,120 Hyatt Mall,Grafton,Massachusetts,Worcester County,,00000,42.20868789604197,-71.67450114310553,84832.16,5984.68,148543
6e27f816-e257-ff9e-ebd3-9d5849c7a80f,1997-12-17,,999-41-9095,S99923356,X71858967X,Ms.,Joline447,,Jacobson885,,,,white,nonhispanic,F,Bridgewater  Massachusetts  US,401 Kihn Station Suite 81,Dracut,Massachusetts,Middlesex County,,00000,42.66288619655136,-71.3022640655784,115685.65,385599.72,29920
ba4092c5-3b8f-7676-9e2c-f157f76434ab,1968-12-29,,999-93-4535,S99997738,X89305020X,Mr.,Sydney660,Sebastian508,Wuckert783,,,M,hawaiian,nonhispanic,M,Cambridge  Massachusetts  US,806 Feest Manor Suite 4,Taunton,Massachusetts,Bristol County,25005,02767,41.861601822978365,-70.99054272346503,136617.46,11293.04,44717
60b4c2a1-1ce7-41e7-6e3e-2de902ab7123,2008-07-04,,999-56-8329,S99963240,,,Willa615,Florinda19,Bernhard322,,,,white,nonhispanic,F,Lowell  Massachusetts  US,775 Orn Hollow Unit 56,Douglas,Massachusetts,Worcester County,,00000,42.033239095808966,-71.76172425759877,27276.22,5912.45,27018
b83846b6-2c63-bcdb-a981-5d61e3b0f7f7,1959-12-29,,999-62-6314,S99931861,X19453714X,Mrs.,Adele475,,Pfannerstill264,,Dickinson688,M,white,nonhispanic,F,Athol  Massachusetts  US,132 Strosin Underpass,Amesbury,Massachusetts,Essex County,25009,01913,42.823001558922236,-70.92696967717855,739899.27,10446.14,107522
e065fd2a-b3b7-181b-9256-4da2cab2dec7,2002-11-25,,999-35-8376,S99949598,X687055X,Ms.,Jessi630,India495,Mills423,,,,white,nonhispanic,F,Amherst  Massachusetts  US,701 Prosacco Crossroad,Boston,Massachusetts,Suffolk County,25025,02108,42.28604662378929,-71.15326075327877,107033.16,0.00,95796
c998c47f-ab6b-c931-b236-259e0f1cb438,2024-03-30,,999-91-2461,,,,Ashli227,Jane262,Braun514,,,,white,nonhispanic,F,Boston  Massachusetts  US,841 Bechtelar Wall,Newburyport,Massachusetts,Essex County,25009,01950,42.829013328725914,-70.87005494380239,5431.37,4112.00,47988
5da4dcaa-d3af-3d47-f209-b0c72ac25b52,1955-08-14,,999-83-3412,S99982009,X2662780X,Mr.,Kerry175,Buford910,Kris249,,,D,black,nonhispanic,M,Fall River  Massachusetts  US,834 Bradtke Spur Apt 76,Lynnfield,Massachusetts,Essex County,25009,01940,42.58363652425065,-71.06740060326264,12057.95,352383.95,11955
b32a04b2-f43e-e612-385f-3633aa901b13,1990-01-19,,999-52-3195,S99971396,X3612555X,Mr.,Ali918,Brent147,Ferry570,,,S,white,nonhispanic,M,Needham  Massachusetts  US,687 Reinger Frontage road,Boston,Massachusetts,Suffolk County,25025,02126,42.41918827629139,-70.95861979060172,94395.08,34566.28,68568
d9e84823-0ccc-1a0b-1c23-8befab2c17b3,1949-11-04,2006-10-08,999-33-5380,S99972676,X68319211X,Mr.,Eddy900,Zachary28,DuBuque211,,,S,white,nonhispanic,M,Milan  Lombardy  IT,955 Cronin Gateway Apt 27,Attleboro,Massachusetts,Bristol County,44007,02861,41.90717405197219,-71.31690388793946,132063.11,114663.65,144162
f23923d0-4a1a-0853-641e-b96644b6526a,1972-08-30,,999-32-5261,S99948105,X8827583X,Mrs.,Maryetta775,Verena947,Goldner995,,Hoppe518,M,white,nonhispanic,F,Hull  Massachusetts  US,685 Hyatt Village,Bourne,Massachusetts,Barnstable County,25001,02532,41.70885144263266,-70.59337370239757,728208.62,37230.43,84685
d0472aed-615f-a22d-b872-4e81903dc56a,1976-06-15,,999-40-4310,S99950034,X13971108X,Mr.,Jamey282,Kelley882,Breitenberg711,,,D,white,nonhispanic,M,Westborough  Massachusetts  US,608 Moen Gateway,Quincy,Massachusetts,Norfolk County,25021,02169,42.23060536094323,-70.97812422193097,131411.15,8737.52,35721
1b03d3f1-b9d4-f616-98e0-52e4124816f5,2011-10-17,,999-12-3882,,,,Lamar193,Errol226,Will178,,,,white,nonhispanic,M,Concord  Massachusetts  US,206 Little Gateway,Southbridge,Massachusetts,Worcester County,25027,01550,42.10551824405593,-72.0293246194854,34267.68,5085.93,31341
1cc403a0-e0f9-a1be-7186-e41b73a2f586,2011-07-21,,999-49-7139,,,,Zetta950,Regena252,Runte676,,,,black,nonhispanic,F,New Bedford  Massachusetts  US,330 Romaguera Knoll Unit 55,Malden,Massachusetts,Middlesex County,25017,02155,42.389950240538305,-71.04289646584571,27679.47,16646.85,63988
